dynamic_family_id,structural_mode_id,dynamic_structural_submode_id,n,fraction_within_dynamic,fraction_within_structural,approx_medoid_real_row,median_H_abs,IQR_H_mean
D003,S030,D003-S030,108,0.0182309250506414,0.0935064935064935,19230,5.970497608184815,36.27233505249024
D003,S031,D003-S031,95,0.0160364618501012,0.0865209471766848,14024,6.609661102294922,36.519378662109375
D003,S032,D003-S032,85,0.0143484132343011,0.0669818754925137,7723,4.689945220947266,35.83197021484375
D003,S033,D003-S033,98,0.0165428764348413,0.0887681159420289,35064,5.627848148345947,35.27558517456055
D003,S034,D003-S034,111,0.0187373396353815,0.0939086294416243,4557,6.866137504577637,36.99175643920898
D003,S035,D003-S035,106,0.0178933153274814,0.0873866446826051,49315,7.099884510040283,35.32489013671875
D003,S036,D003-S036,120,0.0202565833896016,0.105726872246696,26006,6.250377655029297,35.374515533447266
D003,S037,D003-S037,89,0.0150236326806212,0.0918472652218782,4329,6.706823348999023,35.71171188354492
D004,S000,D004-S000,50,0.0092798812175204,0.028604118993135,24893,9.092822074890137,30.55363655090332
D004,S002,D004-S002,677,0.1256495916852264,0.0884967320261437,44344,3.650875806808472,32.48649978637695
D004,S003,D004-S003,252,0.0467706013363029,0.0981690689520841,51350,5.868155479431152,39.78683090209961
D004,S004,D004-S004,289,0.053637713437268,0.1208699289000418,20615,4.870917320251465,38.62724685668945
D004,S005,D004-S005,226,0.0419450631031922,0.1057557323350491,59110,6.05747127532959,40.16263198852539
D004,S006,D004-S006,266,0.0493689680772086,0.1088379705400982,41728,5.583263874053955,39.89715194702149
D004,S007,D004-S007,154,0.0285820341499628,0.0649789029535864,10247,7.612234115600586,38.7410888671875
D004,S008,D004-S008,144,0.0267260579064587,0.0974949221394719,15724,6.914366245269775,35.912681579589844
