context,dynamic_family,metric,n_targets,model_mae,random_mae,delta_model_minus_random,reduction_vs_random,model_better_vs_random,nn_mae,delta_model_minus_nn,model_better_vs_nn
c12,D005,purity,28,0.04260527625433469,0.15300356482193453,-0.11039828856759984,0.7215406300897715,0.75,0.020251509079510777,0.022353767174823912,0.39285714285714285
c12,D005,c_l1,28,0.052029235272071116,0.16043290934446186,-0.10840367407239074,0.6756947468903632,0.75,0.0331338053775501,0.018895429894521018,0.42857142857142855
c12,D009,eta,32,0.11083539818009491,0.28554540144752083,-0.17471000326742592,0.6118466709033489,0.625,0.051879279749635895,0.05895611843045902,0.3125
c12,D009,tau_transfer,32,2.207348318132992,6.814014175771295,-4.606665857638303,0.6760575688290027,0.84375,1.5240831675514217,0.6832651505815703,0.4375
c12,D009,ipr,32,0.044885295268578894,0.11187290931542608,-0.0669876140468472,0.5987831590038958,0.75,0.01884547632503147,0.026039818943547424,0.25
c12,D009,purity,32,0.04824086301731759,0.10486441303050113,-0.056623550013183546,0.5399691694904531,0.65625,0.01853547907453413,0.029705383942783457,0.28125
c12,D009,c_l1,32,0.042910958872255336,0.16680518548743858,-0.12389422661518325,0.7427480521851835,0.875,0.0376889203214174,0.005222038550837936,0.53125
c12,D012,eta,7,0.10451279252540653,0.33601114071915766,-0.23149834819375115,0.6889603353575718,0.8571428571428571,0.047990182469787535,0.056522610055618996,0.42857142857142855
c12,D012,tau_transfer,7,2.441938430659438,8.34546942996688,-5.903530999307442,0.7073935203823365,1.0,0.9521731704886298,1.489765260170808,0.14285714285714285
c12,D012,ipr,7,0.06361296853141706,0.21880687227657797,-0.1551939037451609,0.7092734434272773,1.0,0.02334327068720676,0.04026969784421029,0.2857142857142857
c12,D012,purity,7,0.06479847994955815,0.20745586734543167,-0.14265738739587353,0.6876517363489982,0.8571428571428571,0.022525062471433318,0.042273417478124825,0.2857142857142857
c12,D012,c_l1,7,0.05009094132145907,0.22157207003694715,-0.1714811287154881,0.7739293525889503,1.0,0.04930072252419985,0.0007902187972592192,0.5714285714285714
c18,D008,eta,26,0.08153558770610593,0.31723363544512434,-0.23569804773901842,0.7429793735721,0.8461538461538461,0.019340735001283752,0.06219485270482218,0.38461538461538464
c18,D008,tau_transfer,26,2.2703337780825446,8.096058256330865,-5.82572447824832,0.7195754148252065,0.8461538461538461,0.6795610841357893,1.5907726939467552,0.15384615384615385
c18,D008,ipr,26,0.03907385975239806,0.09671389000578816,-0.057640030253390095,0.5959850260385602,0.8846153846153846,0.013865917536574093,0.02520794221582397,0.2692307692307692
c18,D008,purity,26,0.03855264525841366,0.09266031936242654,-0.054107674104012876,0.5839357610281815,0.8846153846153846,0.013214758178715286,0.025337887079698376,0.34615384615384615
c18,D008,c_l1,26,0.028139654946650498,0.1612069940790579,-0.1330673391324074,0.8254439572711686,0.9615384615384616,0.018231053034595282,0.009908601912055216,0.38461538461538464
c18,D007,eta,31,0.08434908225441351,0.37895665058664946,-0.29460756833223595,0.7774175961186176,0.8387096774193549,0.019408075852976107,0.0649410064014374,0.2903225806451613
c18,D007,tau_transfer,31,2.075514972337495,8.379710606825599,-6.304195634488104,0.7523166288526828,0.8709677419354839,0.6619787527689286,1.4135362195685666,0.12903225806451613
