target_id,eta,tau_transfer,ipr,purity,c_l1,dataset_index
41,0.3272198,28.572351,0.2764688,0.29257074,0.33818063,21133
42,0.6676844,17.194998,0.35203397,0.3696623,0.32533953,13497
43,0.20223852,26.457943,0.3336268,0.35060653,0.35357392,138175
44,0.71210027,20.609009,0.20744209,0.21471155,0.3618089,14756
45,0.92296517,8.217064,0.28740525,0.2927139,0.24605627,86386
46,0.99411213,5.7093306,0.18793839,0.21306454,0.569427,62112
47,0.39657944,25.758356,0.29651713,0.3012383,0.23993585,90336
48,0.3051758,22.778698,0.20980999,0.21571718,0.2750041,26553
49,0.23206739,27.365128,0.27865744,0.3234331,0.52623135,71595
50,0.9519933,8.143304,0.39042464,0.4010223,0.33748624,54029
51,0.15314956,25.967892,0.29575887,0.309474,0.3785461,126241
52,0.6138185,23.328236,0.32066396,0.370717,0.6176781,48181
53,0.9128947,15.74081,0.22438486,0.25013077,0.50879335,118408
54,0.9406932,12.716965,0.27513498,0.29039907,0.5042295,132888
55,0.1713736,24.089294,0.33033255,0.33302355,0.22643408,77211
56,0.928411,12.686552,0.2703113,0.30094028,0.54258186,24993
57,0.08381365,29.16065,0.30132908,0.3048634,0.21369682,89584
58,0.81023276,16.308239,0.25414038,0.26776546,0.35070863,21287
59,0.24107951,26.234648,0.86947674,0.87010956,0.08143045,87885
60,0.6373154,22.101055,0.22667082,0.2654196,0.4601942,123520
61,0.7488985,22.824816,0.4855495,0.49909177,0.39332604,92683
62,0.9635143,12.703297,0.3846223,0.41405958,0.43764108,62402
63,0.120743476,30.155148,0.22219725,0.22367024,0.14986375,107660
64,0.69193363,23.776144,0.3273452,0.3301339,0.2449256,114838
65,0.9033592,16.808657,0.3665114,0.37366894,0.33575636,129419
66,0.9810648,6.784301,0.1867344,0.22869974,0.6699938,104180
67,0.9050931,10.385718,0.27195257,0.2771916,0.25640616,45584
68,0.95060927,3.6110168,0.26646313,0.27673438,0.27322555,107511
69,0.9828951,6.010696,0.25168145,0.2906723,0.45278525,130638
70,0.16552414,26.884502,0.81300145,0.8157679,0.14969918,84389
71,0.98331374,4.9777174,0.3490426,0.35605392,0.28701532,77346
72,0.95227647,9.029182,0.63416433,0.64924705,0.24559991,132543
73,0.4156221,21.96439,0.25565356,0.2694603,0.43903217,34829
74,0.50898254,22.379879,0.32197392,0.33196816,0.23478936,16447
75,0.18796815,24.718775,0.33605602,0.33791295,0.14140126,41036
76,0.7675487,16.072035,0.23194991,0.23660281,0.28200436,95966
77,0.96104586,13.033727,0.18100923,0.20873229,0.61596453,8251
78,0.35552377,27.470287,0.7829671,0.7839013,0.0946497,18874
79,0.9606615,14.723011,0.3858661,0.39102417,0.2935697,75139
80,0.57568127,21.917786,0.2784825,0.28892547,0.32041407,131370
81,0.9504329,7.114172,0.31666517,0.3219526,0.24728559,115990
82,0.4137369,24.832193,0.46234486,0.4684225,0.24307573,109934
83,0.25834417,28.8861,0.3619847,0.40253738,0.45567232,48295
84,0.4281423,23.391497,0.26030293,0.29315227,0.39063296,70309
85,0.84018725,10.883569,0.21391621,0.21809272,0.22822689,64679
86,0.6466955,23.988289,0.27970874,0.28765595,0.32606697,4107
87,0.50196135,22.163916,0.2749696,0.28339043,0.2803597,13073
88,0.48985597,22.574947,0.6303898,0.63209766,0.13119675,90441
89,0.38836735,27.611963,0.26168185,0.26483282,0.21164095,84205
90,0.62825906,21.258476,0.2420109,0.25033903,0.34484452,68647
91,0.7754382,13.57105,0.24259923,0.25187498,0.23061833,87033
92,0.67514026,14.355022,0.2481612,0.25377217,0.2566046,107365
93,0.9862209,4.992883,0.3819591,0.38894114,0.26344714,40735
94,0.95812285,8.599814,0.39020193,0.39981133,0.30177665,3418
95,0.19651225,26.84561,0.2628127,0.2727467,0.2764581,5376
96,0.45572323,22.520437,0.22139704,0.2307772,0.32520247,85534
97,0.8888163,14.852062,0.30021733,0.30192927,0.17083138,87802
98,0.85772574,16.761538,0.18706726,0.19379604,0.34753338,19714
99,0.4667186,22.163942,0.2250121,0.23329534,0.41175765,112128
100,0.448897,24.891273,0.34677616,0.3497091,0.18294977,128721
101,0.18957847,27.44778,0.26025674,0.26997843,0.32319087,41700
102,0.2560727,27.185375,0.30448842,0.30994168,0.29291958,111415
103,0.41071266,28.079338,0.3259311,0.32747525,0.12081507,41846
104,0.6528381,21.131826,0.23231246,0.24861024,0.4301315,88985
105,0.19462454,24.111979,0.29124674,0.29981074,0.36894187,61083
106,0.17344321,28.497353,0.67832756,0.6789487,0.10123794,2507
107,0.07984919,23.431452,0.22278814,0.24091251,0.47333917,88701
108,0.19782972,27.096684,0.30239072,0.3105972,0.23516855,20233
109,0.96223354,10.65801,0.17620383,0.18585497,0.35803276,65784
110,0.67912954,22.619465,0.33696523,0.33971024,0.20639324,77021
111,0.8104544,10.749181,0.26448187,0.2722839,0.34195542,91847
112,0.11953876,23.177954,0.66743,0.67032707,0.19682221,134768
113,0.91650623,7.1120553,0.46790993,0.47189492,0.1981455,1618
114,0.5597202,22.602724,0.27822566,0.35036916,0.5864679,102678
115,0.95395523,15.153366,0.29831457,0.32274783,0.49964646,100814
116,0.9485913,11.611339,0.22809029,0.24676704,0.5080616,127274
117,0.8512997,17.14421,0.23024854,0.2371178,0.30796364,24292
118,0.95481944,9.069697,0.18998358,0.20126101,0.3852934,124114
119,0.7292272,15.352625,0.33287448,0.34990236,0.45254073,68315
120,0.6859267,22.776274,0.46233478,0.46717453,0.18751529,98069
121,0.99406284,5.2553906,0.20289335,0.23949708,0.6908754,67798
122,0.5330355,24.512684,0.58080995,0.5824037,0.1626165,91722
123,0.8638806,14.797662,0.2344146,0.24700767,0.3999716,88491
124,0.5930979,19.38417,0.37228206,0.47810468,0.57866937,128377
125,0.11936989,25.506084,0.20436344,0.25969046,0.628498,66005
126,0.91243213,16.227629,0.26331612,0.27107987,0.32694593,60871
127,0.815457,19.4621,0.25892687,0.2634544,0.26724717,3661
128,0.16135001,28.301107,0.37974232,0.3824067,0.2346681,5254
129,0.79903287,14.983558,0.27745393,0.28180128,0.2387503,103048
130,0.9764666,8.969985,0.17663778,0.22192945,0.6562025,41610
131,0.49949542,18.65179,0.21536367,0.2405355,0.49498078,43739
132,0.9611297,4.2591558,0.32463923,0.33303913,0.2031044,106331
133,0.66716266,21.724648,0.23176423,0.24029805,0.35671666,99376
134,0.9083497,9.554885,0.26990777,0.28174427,0.3503315,17825
135,0.6736085,23.783697,0.5372027,0.54148954,0.21574281,104515
136,0.7665359,19.221857,0.20338193,0.2209849,0.49562517,48891
137,0.87290853,18.840435,0.17920546,0.20985526,0.48163995,29684
138,0.09075033,26.818455,0.26332998,0.26608127,0.18700095,25533
139,0.7681416,18.334352,0.8197346,0.8252538,0.1902688,20962
140,0.34637225,28.02469,0.2612827,0.2771357,0.29447126,119733
141,0.3930655,25.216278,0.33799875,0.35717443,0.4834872,55846
142,0.13220209,27.442757,0.3016329,0.3157956,0.36197683,42954
143,0.52073383,22.369987,0.18364699,0.20918016,0.5864407,113506
144,0.157177,29.427174,0.32874823,0.33604646,0.3037447,44350
145,0.9027792,8.970675,0.25184458,0.278499,0.4988706,51254
146,0.50012565,16.461933,0.23202096,0.23934329,0.28994894,18035
147,0.53644776,21.155361,0.22251806,0.23083885,0.38375568,57139
148,0.6634564,18.851463,0.2600071,0.26329082,0.23805518,288
149,0.79485834,15.779094,0.2263196,0.23980963,0.39517897,54183
150,0.070121095,27.556084,0.96538943,0.96554184,0.038153097,17827
151,0.4973401,27.58751,0.5062406,0.5076567,0.15230675,42200
152,0.17702001,28.349092,0.28710875,0.28924185,0.1408743,50369
153,0.7470299,19.496372,0.22233842,0.24333227,0.50226736,119874
154,0.2259466,22.633484,0.22624949,0.23233566,0.24709448,110298
155,0.85445946,18.22089,0.25985387,0.30349293,0.42551678,1539
156,0.84594667,15.744453,0.39838147,0.42650217,0.5314537,52379
157,0.77376485,15.272466,0.4046297,0.41623184,0.3413217,68642
158,0.1847325,24.587997,0.29889354,0.31951642,0.38287804,139498
159,0.8747653,5.966621,0.23841435,0.24276061,0.26273558,1502
160,0.16614236,25.79963,0.49021357,0.5076604,0.3123826,127469
161,0.9592159,5.5796895,0.26853508,0.27953848,0.30148184,43268
